influencedBy/0/values,influencedBy/1/values,influencedBy/2/values,influencedBy/3/values,influencedBy/4/values,influencedBy/5/values,influencedBy/6/values,influencedBy/7/values,genre/0/values,genre/1/values,genre/2/values,influenced/0/values,influenced/1/values,influenced/2/values,influenced/3/values,normnationality,vid,birthDate/0/values,normbirthdate,normname,URI,normdes,genre/3/values,influencedBy/8/values,genre/4/values,genre/5/values,genre/6/values,genre/7/values,genre/8/values,influencedBy/9/values,influencedBy/10/values,influencedBy/11/values,influencedBy/12/values,influencedBy/13/values,influencedBy/14/values,birthDate/1/values,influencedBy/15/values,influencedBy/16/values,influencedBy/17/values,influenced/4/values,influenced/5/values,influenced/6/values,influenced/7/values,influenced/8/values,influenced/9/values,influenced/10/values,influenced/11/values,influenced/12/values,influencedBy/18/values,influencedBy/19/values,influencedBy/20/values,influencedBy/21/values,influencedBy/22/values,influencedBy/23/values,influencedBy/24/values,influencedBy/25/values,influencedBy/26/values,influenced/13/values,influenced/14/values,influenced/15/values,influenced/16/values,influenced/17/values,genre/9/values,genre/10/values,genre/11/values,genre/12/values,influencedBy/27/values,influencedBy/28/values,influencedBy/29/values,influencedBy/30/values,influencedBy/31/values,influenced/18/values,influenced/19/values,influenced/20/values,influenced/21/values,influenced/22/values,influenced/23/values,influenced/24/values,influenced/25/values,influenced/26/values,influenced/27/values,influenced/28/values,influenced/29/values,influenced/30/values,influenced/31/values,genre/13/values,genre/14/values,genre/15/values,influenced/32/values,influenced/33/values,influenced/34/values,influenced/35/values,influenced/36/values,influenced/37/values,influenced/38/values,genre/16/values,genre/17/values,genre/18/values,genre/19/values,genre/20/values,genre/21/values,genre/22/values,genre/23/values,genre/24/values,genre/25/values
http://dbpedia.org/resource/Flannery_O'Connor,http://dbpedia.org/resource/Henry_Miller,http://dbpedia.org/resource/Ernest_Hemingway,http://dbpedia.org/resource/Samuel_Beckett,http://dbpedia.org/resource/William_Faulkner,http://dbpedia.org/resource/Gordon_Lish,http://dbpedia.org/resource/Cormac_McCarthy,http://dbpedia.org/resource/Albert_Camus,http://dbpedia.org/resource/Short_story,http://dbpedia.org/resource/Novel,Prose fiction,http://dbpedia.org/resource/Donna_Tartt,http://dbpedia.org/resource/Larry_Brown_(author),http://dbpedia.org/resource/Bob_Shacochis,http://dbpedia.org/resource/Wells_Tower,,14785172,1942-04-23,1942-04-23,Barry Hannah,http://dbpedia.org/resource/Barry_Hannah,"Short story writer, novelist, professor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Fantasy, adventure novel, mainstream fiction",,,,,,,,36944583,1900-09-09,1900-09-09,James Hilton,http://dbpedia.org/resource/James_Hilton_(novelist),British writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Historical_romance,http://dbpedia.org/resource/Detective_fiction,,,,,,,51690903,1902-08-16,1902-08-16,Georgette Heyer,http://dbpedia.org/resource/Georgette_Heyer,English novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Science_fiction,,,,,,,American,19684547,1937-12-15,1937-12-15,John Sladek,http://dbpedia.org/resource/John_Thomas_Sladek,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Non-fiction,,,,,,,,56943263,1960-09-10,1960-09-10,Amity Shlaes,http://dbpedia.org/resource/Amity_Shlaes,American writer focusing on politics and economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dbpedia.org/resource/George_R._R._Martin,http://dbpedia.org/resource/Ray_Bradbury,http://dbpedia.org/resource/Robin_McKinley,,,,,,http://dbpedia.org/resource/Fantasy,http://dbpedia.org/resource/Romance_novel,http://dbpedia.org/resource/Paranormal_romance,,,,,American,24346917,1973-01-28,1973-01-28,Carrie Vaughn,http://dbpedia.org/resource/Carrie_Vaughn,American writer,http://dbpedia.org/resource/Science_fiction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Young-adult_fiction,,,,,,,,1240037,1955-03-26,1955-03-26,Ellen Hopkins,http://dbpedia.org/resource/Ellen_Hopkins,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"historical romance;  historical fiction
historical fiction",Duchess: A Novel of Sarah Churchill,,,,,,http://dbpedia.org/resource/United_States,58492832,,,Susan Holloway Scott,http://dbpedia.org/resource/Susan_Holloway_Scott,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,American,4346680,1976-01-11,1976-01-11,Alethea Kontis,http://dbpedia.org/resource/Alethea_Kontis,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,http://dbpedia.org/resource/Horror_fiction,http://dbpedia.org/resource/Science_fiction,http://dbpedia.org/resource/Fantasy,,,,,American,4346680,1976-01-11,1976-01-11,Alethea Kontis,http://dbpedia.org/resource/Alethea_Kontis,American writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
